city,latitude,longitude,population_density
Visakhapatnam,17.6868,83.2185,18480
Chennai,13.0827,80.2707,26553
Kolkata,22.5726,88.3639,24306
Bhubaneswar,20.2961,85.8245,6228
Mumbai,19.076,72.8777,31700
Paradip,20.3165,86.6085,5200
Puri,19.7983,85.8249,6120
Machilipatnam,16.1875,81.1389,4580
Nellore,14.4426,79.9865,5900
Pondicherry,11.9416,79.8083,7120
Mangalore,12.9141,74.856,6960
Kochi,9.9312,76.2673,7100
Thiruvananthapuram,8.5241,76.9366,5284
Ratnagiri,16.9902,73.312,2150
Tuticorin,8.7642,78.1348,4800
